key,value
Archives,81117
Review,220992
News,2551339
Editorial,54013
Letter,198562
Statistics,199532
Op-Ed,82772
Obituary,25158
An Analysis,3184
Text,6622
Correction,66733
List,23317
Series,6099
Chronology,1215
Interview,7221
Glossary,69
Summary,34036
Question,15035
Schedule,28994
Obituary (Obits),2
Results Listing,1434
Transcript,1902
Sidebar,977
Editors' Note,1861
Review; Letter,2
Profile,356
Series; An Analysis,2
Series; Review,3
An Appraisal,274
Biography; List,5
Series; Op-Ed,5
Op-Ed; Series,82
List; Statistics,15
Op-Ed; Text,16
An Analysis; News Analysis,5681
List; Schedule,37
Review; Text,5
Review; List,26
Text; Review,5
Statistics; List,50
Editorial; Statistics,1
Review; Series,3
Obituary; Biography,21091
Summary; Text,1
An Analysis; Economic Analysis,96
An Analysis; Military Analysis,157
Text; Glossary,2
Text; Series,5
List; Chronology,3
Correction; Editorial,20
List; Glossary,1
Correction; Op-Ed,15
Series; Statistics,14
Summary; An Analysis; News Analysis; Review,1
Series; Question,4
Series; Schedule,1
Editorial; Series,184
Summary; An Analysis; News Analysis,1
Chronology; List,3
List; Summary,2
Glossary; List,2
Series; Interview,41
List; Series,1
Editorial; Correction,6
Editorial; Chronology,3
Text; Correction,2
Op-Ed; List,4
Editorial; List,8
Op-Ed; Editors' Note,1
Special Report,1004
Correction; Letter,7
Chronology; Statistics,1
Text; Chronology,4
QandA,88
Op-Ed; Correction,2
Text; Op-Ed,1
Letter; List,1
Summary; Editorial; Letter; Op-Ed,1
Op-Ed; Chronology,1
Series; Editorial,8
Editorial; Text,1
Chronology; Schedule,1
Correction; Obituary,1
Question; Series,2
Series; Special Report,1
Schedule; List,32
Editorial; Letter,20
Obituary; List,2
Biography,19175
An Analysis; News Analysis; Series,2
Op-Ed; Letter,1
Review; Schedule,3
Review; Biography,19
An Analysis; News Analysis; Chronology,13
Biography; Obituary,1350
Biography; Review,679
Letter; Editorial,8
Biography; Chronology,71
Biography; Series,90
Biography; Text,16
Interview; Summary,1
Biography; An Analysis; News Analysis,43
Biography; Obituary; List,3
Special Report; Chronology,21
Interview; Text,8
Biography; Special Report,34
Special Report; Biography,11
List; Review,8
Series; Biography,14
An Analysis; News Analysis; Statistics,2
Summary; Op-Ed,3
Op-Ed; Summary,3
News Analysis,3557
Biography; Letter,2
List; Statistics; Correction,1
Op-Ed; Schedule,1
Chronology; Biography,3
Biography; Interview,52
An Analysis; News Analysis; Schedule,1
Series; Chronology,13
Biography; Obituary; Series,1
Biography; An Analysis,1
Schedule; Summary,1
Summary; Schedule,1
Correction; List,1
Text; Question,1
Obituary; Biography; Chronology,7
Biography; Letter; Question,1
Biography; Statistics,7
Biography; Special Report; Chronology,2
Statistics; Biography,1
Interview; Biography,2
Chronology; Series,6
Correction; Text,1
Chronology; Special Report,7
Biography; Series; Chronology,1
Biography; An Appraisal,1
An Analysis; News Analysis; Biography,5
Schedule; Correction,1
Schedule; Op-Ed,1
Text; Biography,1
Chronology; Text,2
Summary; Question,1
Letter; Editors' Note,3
Biography; Chronology; Series,1
Interview; Chronology,1
Special Report; Biography; Chronology,1
Correction; Caption,5
Caption; Correction,3
An Appraisal; Chronology,1
EDITORIAL COLUMN;,1
Biography; Chronology; An Analysis; News Analysis,1
Op-Ed; Caption,313
Special Report; Series,3
Paid Death Notice,126177
Caption; Op-Ed,31
Caption; Statistics,1
Obituary; Biography; Glossary,1
An Analysis; News Analysis; Question,1
Review; Chronology,1
Biography; Chronology; Special Report,2
Series; Summary,1
Obituary (Obit),18620
Chronology; An Analysis; News Analysis,4
Editors' Note; Summary,6
Biography; Question,2
Caption; Summary,1
Editors' Note; Review,1
Editors' Note; Schedule,1
Question; Correction,1
Series; Glossary,1
Summary; Caption,1
Text; Letter,1
Transactions,0
nan,0
Summary; Review,1
Summary; List,1
Series; Text,6
Text; Interview,19
Slideshow,42913
Interview; Series,1
Video,36540
Quote,3398
First Chapter,1495
Interview; Review,1
recipe,1447
Editors Note,1
Caption; Editorial,1
Correction; Biography,1
Correction; Series,2
Correction; Editors' Note,1
Interactive Feature,21567
Brief,21527
Military Analysis,23
Web Log,36062
Caption,85
Postscript,38
Interactive Graphic,38
Premium,3
Audio Podcast,9
Addendum,3
Newsletter,81
Economic Analysis,23
briefing,10987
